,School ID,School Name,School Network,School Year,Time Period,"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",% of Unique Students Receiving ISS,% of Unique Students Receiving OSS,% of Misconducts Resulting in a Police Notification
8152,610357,SPRY HS,Network 7,2016-2017,EOY,105.0,27.8,6.2,0.0
8154,610357,SPRY HS,Network 7,2017-2018,EOY,112.2,14.2,10.2,0.0
8156,610357,SPRY HS,Network 16,2018-2019,EOY,105.6,21.6,10.8,1.4
8158,610357,SPRY HS,Network 16,2019-2020,EOY,100.0,6.0,4.0,8.3
8159,610357,SPRY HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,0.0
8161,610357,SPRY HS,Network 16,2021-2022,EOY,53.6,8.2,3.5,0.0
8179,609732,STEINMETZ COLLEGE PREP HS,Network 3,2013-2014,EOY,100.1,41.5,16.6,0.5
8181,609732,STEINMETZ COLLEGE PREP HS,Network 3,2014-2015,EOY,83.4,40.4,9.9,0.5
8183,609732,STEINMETZ HS,Network 3,2015-2016,EOY,81.6,35.3,11.3,0.5
8185,609732,STEINMETZ HS,Network 3,2016-2017,EOY,61.9,29.6,8.9,0.5
8187,609732,STEINMETZ HS,Network 3,2017-2018,EOY,70.9,36.8,4.8,0.2
8189,609732,STEINMETZ HS,Network 14,2018-2019,EOY,54.9,19.5,10.9,1.0
8191,609732,STEINMETZ HS,Network 14,2019-2020,EOY,73.1,13.8,4.6,2.7
8193,609732,STEINMETZ HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
8195,609732,STEINMETZ HS,Network 14,2021-2022,EOY,37.3,14.0,14.1,1.4
8281,609733,SULLIVAN HS,Network 2,2013-2014,EOY,32.1,0.0,13.5,1.7
8283,609733,SULLIVAN HS,Network 2,2014-2015,EOY,18.1,0.0,10.0,0.7
8285,609733,SULLIVAN HS,Network 2,2015-2016,EOY,15.3,0.0,7.7,0.2
8287,609733,SULLIVAN HS,Network 2,2016-2017,EOY,12.2,0.0,3.2,2.6
8289,609733,SULLIVAN HS,Network 2,2017-2018,EOY,17.8,0.0,7.2,2.7
8291,609733,SULLIVAN HS,Network 14,2018-2019,EOY,9.3,0.0,3.7,0.3
8293,609733,SULLIVAN HS,Network 14,2019-2020,EOY,15.7,0.0,1.7,1.2
8295,609733,SULLIVAN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,14.3
8297,609733,SULLIVAN HS,Network 14,2021-2022,EOY,16.3,0.0,7.3,2.6
8349,609734,TAFT HS,Network 1,2013-2014,EOY,95.6,5.9,5.0,14.5
8351,609734,TAFT HS,Network 1,2014-2015,EOY,25.3,12.6,3.4,3.5
8353,609734,TAFT HS,Network 1,2015-2016,EOY,13.0,4.2,0.6,1.8
8355,609734,TAFT HS,Network 1,2016-2017,EOY,10.4,4.2,0.6,2.0
8357,609734,TAFT HS,Network 1,2017-2018,EOY,11.6,4.5,1.0,3.2
8359,609734,TAFT HS,Network 14,2018-2019,EOY,12.1,4.8,1.2,2.8
8361,609734,TAFT HS,Network 14,2019-2020,EOY,8.9,4.3,0.7,1.1
8363,609734,TAFT HS,Network 14,2020-2021,EOY,0.9,0.0,0.0,0.9
8365,609734,TAFT HS,Network 14,2021-2022,EOY,13.4,4.3,1.1,1.5
8512,609735,TILDEN HS,OS4,2013-2014,EOY,95.0,56.2,45.6,5.1
8514,609735,TILDEN HS,OS4,2014-2015,EOY,72.8,23.2,36.5,22.6
8516,609735,TILDEN HS,Network 8,2015-2016,EOY,73.1,0.7,32.4,19.6
8518,609735,TILDEN HS,Network 8,2016-2017,EOY,56.9,4.5,28.1,16.1
8520,609735,TILDEN HS,Network 8,2017-2018,EOY,90.7,6.4,31.1,25.8
8522,609735,TILDEN HS,Network 16,2018-2019,EOY,37.2,2.8,18.9,22.6
8524,609735,TILDEN HS,Network 16,2019-2020,EOY,15.2,0.0,11.7,3.7
8526,609735,TILDEN HS,Network 16,2020-2021,EOY,0.0,0.0,0.0,8.3
8528,609735,TILDEN HS,Network 16,2021-2022,EOY,29.0,1.1,20.3,0.6
8640,610394,UPLIFT HS,Network 2,2013-2014,EOY,49.9,23.5,24.1,1.9
8642,610394,UPLIFT HS,Network 2,2014-2015,EOY,52.8,33.8,13.7,0.2
8644,610394,UPLIFT HS,Network 2,2015-2016,EOY,85.1,16.5,21.4,2.1
8646,610394,UPLIFT HS,Network 2,2016-2017,EOY,86.6,10.5,26.2,2.5
8648,610394,UPLIFT HS,Network 2,2017-2018,EOY,10.2,0.9,13.2,3.6
8650,610394,UPLIFT HS,Network 14,2018-2019,EOY,12.9,32.6,12.0,0.2
8652,610394,UPLIFT HS,Network 14,2019-2020,EOY,22.2,16.1,4.2,0.0
8654,610394,UPLIFT HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,25.0
8656,610394,UPLIFT HS,Network 14,2021-2022,EOY,41.0,8.9,11.1,0.0
8717,609766,VAUGHN HS,Network 1,2013-2014,EOY,100.0,2.4,6.8,16.0
8719,609766,VAUGHN HS,Network 1,2014-2015,EOY,100.0,3.0,3.0,14.3
8721,609766,VAUGHN HS,Network 1,2015-2016,EOY,24.2,4.7,4.7,6.6
8723,609766,VAUGHN HS,Network 1,2016-2017,EOY,26.9,3.0,6.9,9.7
8725,609766,VAUGHN HS,Network 1,2017-2018,EOY,12.0,1.8,2.2,5.6
8727,609766,VAUGHN HS,Network 14,2018-2019,EOY,8.7,0.4,3.1,0.0
8729,609766,VAUGHN HS,Network 14,2019-2020,EOY,5.4,0.0,1.9,1.8
8731,609766,VAUGHN HS,Network 14,2020-2021,EOY,11.8,0.0,1.3,0.0
8733,609766,VAUGHN HS,Network 14,2021-2022,EOY,2.8,1.0,1.4,0.0
8737,610518,VOISE HS,Network 3,2013-2014,EOY,76.8,0.6,44.1,25.0
8739,610518,VOISE HS,Network 3,2014-2015,EOY,80.6,68.4,37.3,1.8
8741,610518,VOISE HS,Network 3,2015-2016,EOY,63.2,69.9,41.8,0.9
8775,609737,VON STEUBEN HS,Network 1,2013-2014,EOY,25.4,0.0,5.7,16.5
8777,609737,VON STEUBEN HS,Network 1,2014-2015,EOY,60.2,2.2,2.9,31.9
8779,609737,VON STEUBEN HS,Network 1,2015-2016,EOY,38.3,3.5,3.7,22.1
8781,609737,VON STEUBEN HS,Network 1,2016-2017,EOY,20.4,1.9,2.2,2.6
8783,609737,VON STEUBEN HS,Network 1,2017-2018,EOY,11.7,0.9,2.5,0.3
8785,609737,VON STEUBEN HS,Network 14,2018-2019,EOY,18.0,0.6,4.6,0.3
8787,609737,VON STEUBEN HS,Network 14,2019-2020,EOY,10.7,1.6,1.6,0.2
8789,609737,VON STEUBEN HS,Network 14,2020-2021,EOY,0.0,0.0,0.0,0.0
8791,609737,VON STEUBEN HS,Network 14,2021-2022,EOY,12.6,0.9,1.3,2.8
8912,609739,WASHINGTON HS,Network 13,2013-2014,EOY,56.0,0.0,21.2,7.8
8914,609739,WASHINGTON HS,Network 13,2014-2015,EOY,28.5,29.5,11.5,1.9
8916,609739,WASHINGTON HS,Network 13,2015-2016,EOY,19.9,21.0,10.2,1.0
8918,609739,WASHINGTON HS,Network 13,2016-2017,EOY,7.9,22.6,6.8,0.2
8920,609739,WASHINGTON HS,Network 13,2017-2018,EOY,7.9,17.8,6.8,0.5
8922,609739,WASHINGTON HS,Network 17,2018-2019,EOY,25.3,17.1,5.6,0.8
8924,609739,WASHINGTON HS,Network 17,2019-2020,EOY,28.7,6.4,3.3,4.3
8926,609739,WASHINGTON HS,Network 17,2020-2021,EOY,0.0,0.0,0.0,0.0
8928,609739,WASHINGTON HS,Network 17,2021-2022,EOY,13.3,8.3,7.5,0.0
8975,609740,WELLS HS,OS4,2013-2014,EOY,54.2,4.1,20.0,5.4
8977,609740,WELLS HS,Network 6,2014-2015,EOY,61.0,13.7,6.3,10.1
8979,609740,WELLS HS,Network 6,2015-2016,EOY,80.7,20.7,4.6,1.0
8981,609740,WELLS HS,ISP,2016-2017,EOY,103.3,13.7,0.8,0.0
8983,609740,WELLS HS,Network 6,2017-2018,EOY,115.1,27.4,14.8,10.0
8985,609740,WELLS HS,Network 15,2018-2019,EOY,77.5,19.4,24.7,5.1
8987,609740,WELLS HS,Network 15,2019-2020,EOY,20.5,4.0,18.2,4.9
8988,609740,WELLS HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
8990,609740,WELLS HS,Network 15,2021-2022,EOY,15.8,5.1,16.0,3.0
9057,609693,WESTINGHOUSE HS,Network 5,2015-2016,EOY,43.0,0.1,6.0,0.0
9059,609693,WESTINGHOUSE HS,Network 5,2016-2017,EOY,42.8,0.0,4.5,0.0
9061,609693,WESTINGHOUSE HS,Network 5,2017-2018,EOY,65.3,0.0,6.9,0.0
9063,609693,WESTINGHOUSE HS,Network 15,2018-2019,EOY,30.9,0.0,4.7,0.0
9065,609693,WESTINGHOUSE HS,Network 15,2019-2020,EOY,0.8,0.1,3.0,0.0
9067,609693,WESTINGHOUSE HS,Network 15,2020-2021,EOY,8.3,0.0,0.1,0.0
9069,609693,WESTINGHOUSE HS,Network 15,2021-2022,EOY,1.2,0.0,8.0,0.0
9147,610380,WILLIAMS HS,Network 9,2015-2016,EOY,33.4,18.0,21.1,8.7
9149,610380,WILLIAMS HS,Network 9,2016-2017,EOY,70.5,14.8,17.5,1.6
9151,610380,WILLIAMS HS,Network 9,2017-2018,EOY,50.8,9.2,22.9,8.0
9153,610380,WILLIAMS HS,Network 17,2018-2019,EOY,37.2,6.4,18.1,0.6
9155,610380,WILLIAMS HS,Network 17,2019-2020,EOY,29.3,7.4,9.0,8.0
9157,610380,WILLIAMS HS,Network 17,2021-2022,EOY,35.3,5.0,1.7,0.0
9159,610380,"WILLIAMS, D",Network 9,2013-2014,EOY,93.1,33.0,22.8,25.5
9161,610380,"WILLIAMS, D",Network 9,2014-2015,EOY,35.5,4.6,27.4,20.5
9186,610392,WORLD LANGUAGE HS,Network 7,2013-2014,EOY,67.6,2.9,8.2,2.8
9188,610392,WORLD LANGUAGE HS,Network 7,2014-2015,EOY,41.9,2.8,2.4,7.0
9190,610392,WORLD LANGUAGE HS,Network 7,2015-2016,EOY,47.2,3.7,1.5,5.6
9192,610392,WORLD LANGUAGE HS,Network 7,2016-2017,EOY,103.6,3.6,3.0,7.1
9194,610392,WORLD LANGUAGE HS,Network 7,2017-2018,EOY,97.4,7.9,1.8,0.0
9196,610392,WORLD LANGUAGE HS,Network 15,2018-2019,EOY,101.6,6.9,4.9,0.0
9198,610392,WORLD LANGUAGE HS,Network 15,2019-2020,EOY,94.1,1.1,3.4,11.8
9200,610392,WORLD LANGUAGE HS,Network 15,2020-2021,EOY,0.0,0.0,0.0,0.0
9202,610392,WORLD LANGUAGE HS,Network 15,2021-2022,EOY,45.0,1.6,0.6,10.0
